sep=,
,Alliander,Enexis,Stedin,Common
47,3x25Cu__GPLK,1340_VG_YMvKasmb_4x16mm2_Cu,Vulta_4x25_Cu,
48,3x2p5Cu_as2p5__VO_YMvK_asmb,1266_GPLK_4x95mm2_Cu,,
49,4x10Cu__GPLK,1006_VO_YMvKasmb_4x16mm2_Cu,,
50,4x50Al__VG_VMvK,1371_VMvK_3x10mm2_Cu,,
51,5x10Cu__VMvK,1549_VO_VMvK_4x6mm2_Cu,,
52,3x2p5Cu__GPLK,1655_YMvK_4x10mm2_Cu,,
53,3x10Cu__GPLK,Link,,
54,2x6Cu_2x1Cu__GPLKh,4495_YMvKhas_4x50p0_mm2_Al,,
55,3x10Cu__YMvK_asmb,1778_NAYY_4x35mm2_Al,,
56,4x6Cu_4x2p5Cu__YMvKh_asmb,1248_GPLKh_4x50mm2_Cu___4x2p5mm2_Cu,,
57,4x95Al_2x2p5Cu__VG_VMvKh_as,1514_VMvKhas_4x25mm2_Cu___2x2p5mm2_Cu,,
58,4x6Cu_4x2p5Cu__GPLKh,1553_VO_VMvKas_4x6mm2_Cu,,
59,4x50Cu___VMvKh,1381_VMvK_4x16mm2_Cu,,
60,4x50Al_4x6Cu_as25__VG_VMvKh_sas,1354_VG_YMvKhas_4x25mm2_Cu___2x1p5mm2_Cu,,
61,3x2p5Cu__YMvK_asmb,1370_VMvK_3x6mm2_Cu,,
62,3x50Cu_1x35Cu_2x6Cu_2x2p5__GPLKh,1013_V_VMvKsas_4x50mm2_Al,,
63,4x6Cu_2x1Cu__VG_VMvKh,1391_VMvK_4x95mm2_Al,,
64,4x6Cu_4x2p5Cu__VMVKh_as,1696_YMvKas_4x10mm2_Cu,,
65,4x95Cu_4x6Cu__VMvKh,1160_GPLK_4x6mm2_Cu,,
66,4x150Al_as50__VG_VMVK_sas,1656_YMvK_4x16mm2_Cu,,
67,4x4Cu__GPLK,1412_VMvKh_4x6mm2_Cu___2x1p5mm2_Cu,,
68,2x6Cu_4x2p5Cu__GPLKh,1003_VO_YMvKasmb_3x6mm2_Cu,,
69,4x16Cu_4x2p5Cu_as16__YMvKh_asmb,1443_VMvKh_4x120mm2_Al___4x2p5mm2_Cu,,
70,4x35Cu_4x6Cu__GPLKh,1229_GPLKh_4x35mm2_Cu___4x2p5mm2_Cu,,
71,Link,1078_GPLK_3x6mm2_Cu,,
72,4x150Al__VMvK,1017_V_VMvKhsas_4x95mm2_Al___4x6mm2_Cu,,
73,4x6Cu__VO_YMvK_asmb,1207_GPLKh_4x25mm2_Cu___4x4mm2_Cu,,
74,4x10Cu_4x2p5Cu__YMvKh_asmb,1411_VMvKh_4x6mm2_Cu___2x1mm2_Cu,,
75,4x16Cu_as16__VO_YMvK_asmb,1739_YMvKhas_4x16mm2_Cu___4x2p5mm2_Cu,,
76,4x6Cu__VMvK,1472_VMvKas_4x10mm2_Cu,,
77,4x150Al_as50Cu__V_VMvKsas,1418_VMvKh_4x16mm2_Cu___4x2p5mm2_Cu,,
78,4x95Al_4x6Cu__VG_VMvKh,1183_GPLKh_4x10mm2_Cu___4x2p5mm2_Cu,,
79,4x6Cu_4x1Cu__VG_VMvKh_as,1837_VO_YMvKhas_4x6mm2_Cu___2x1p5mm2_Cu,,
80,7x2p5Cu__GPLK,1526_VMvKhas_4x50mm2_Al___4x2p5mm2_Cu,,
81,4x6Cu_2x2p5Cu__GPLKh,1451_VMvKas_2x6mm2_Cu,,
82,4x10Cu__VG_VMvKas,1475_VMvKas_4x35mm2_Cu,,
83,3x50Cu_1x25Cu_2x10Cu_2x2p5__GPLKh,1172_GPLKh_4x10mm2_Al___4x2p5mm2_Cu,,
84,4x6Cu_4x1p5Cu_as6__YMvKh_asmb,1193_GPLKh_4x16mm2_Cu___4x2p5mm2_Cu,,
85,4x35Cu__GPLK,1009_VO_YMvKas_4x2p5mm2_Cu,,
86,4x6Cu_4x2p5Cu__VG_YMVKh_as,1087_GPLK_3x16mm2_Cu,,
87,4x95Al__VG_VMvK_sas,1796_VG_VMvKas_4x16mm2_Cu,,
88,4x95Al_4x2p5Cu__VMvKh,1474_VMvKas_4x25mm2_Cu,,
89,4x50Cu__GPLK,1184_GPLK_4x16mm2_Cu,,
90,4x25Cu__GPLK,1005_VO_YMvKasmb_4x6mm2_Cu,,
91,5x10Cu__YMvK_mb,1380_VMvK_4x10mm2_Cu,,
92,4x25Cu_4x6Cu__GPLKh,1061_GPLK_2x10mm2_Cu,,
93,4x16Cu_2x2p5Cu__YMvKh_asmb,1089_GPLKh_3x16mm2_Cu___3x2p5mm2_Cu,,
